79
265153	[('265153', 0.99999999999999989), ('14444101', 0.76037843679198636), ('8233892', 0.50683762893881967), ('10227502', 0.37498213443149553), ('5788292', 0.36724225665430954), ('1250991', 0.3567497959513653), ('12790212', 0.3311621100818945), ('6153192', 0.19982485269259015), ('7771572', 0.17835521887786385), ('13704222', 0.15001565399901279)]
763258	[('763258', 1.0), ('11969852', 0.97865989526370023), ('5879482', 0.24628007481876321), ('818185', 0.21347504322001246), ('7308342', 0.21347504322000946), ('14253480', 0.20687706552186641), ('6887162', 0.2068770655218658), ('11753302', 0.20372102719010826), ('14214862', 0.2017667704451564), ('10123222', 0.19689350566307076)]
818185	[('818185', 0.99999999999999989), ('7308342', 0.99999999999999978), ('14253480', 0.9996435723217848), ('6887162', 0.9996435723217848), ('11753302', 0.99922888402646592), ('14214862', 0.99889536173257409), ('10123222', 0.99781288483680808), ('5879482', 0.67283881863603923), ('14247868', 0.56337203871327168), ('11004592', 0.49705025839660349)]
1250991	[('1250991', 1.0), ('7771572', 0.84876553811561029), ('6512132', 0.4324176805798462), ('265153', 0.3567497959513653), ('9059342', 0.34730641397840434), ('5879482', 0.34375959069644052), ('12395472', 0.29710627713561255), ('7308342', 0.26832840375049288), ('818185', 0.26832840375049261), ('6887162', 0.2662326379372254)]
2029941	[('2029941', 0.99999999999999989), ('5615382', 0.97833617910133031), ('2694621', 0.82007940984975602), ('11189192', 0.51102102852848308), ('14349934', 0.50565277502834605), ('14296544', 0.49091805854489479), ('14135156', 0.41728644560900907), ('10227502', 0.38383324935055002), ('7762292', 0.36432471515243764), ('9985092', 0.33635676947940046)]
2074441	[('2074441', 1.0), ('10131552', 0.99493382667636687), ('14089604', 0.86237772032732352), ('14095036', 0.71284344135510691), ('5537752', 0.67309050181474994), ('2442511', 0.60670455124111577), ('14319086', 0.53054613739883827), ('6433622', 0.47417647597582258), ('14296544', 0.39172905663299007), ('14135156', 0.32302846572870991)]
2442511	[('2442511', 1.0), ('14296544', 0.92558664887993003), ('7446782', 0.70550200704349042), ('14135156', 0.69094523910694294), ('8038092', 0.69012829814119281), ('2074441', 0.60670455124111577), ('14089604', 0.59995683115866516), ('10131552', 0.59175355744084479), ('14512287', 0.58138795617760486), ('14319086', 0.34646254506339791)]
2694621	[('2694621', 1.0000000000000004), ('2029941', 0.82007940984975602), ('5615382', 0.79981210165400507), ('5879482', 0.56670737271052973), ('11189192', 0.53616039292524542), ('14349934', 0.47278037127109235), ('14296544', 0.45643625197894772), ('14444101', 0.43041365453445102), ('7762292', 0.42063611495348502), ('14135156', 0.3899103777372358)]
3107931	[('3107931', 1.0000000000000002), ('8291782', 0.87152181761472625), ('14092703', 0.68498171690820542), ('14095036', 0.6443858454333472), ('9059342', 0.61950589024471092), ('5788292', 0.35233162034652366), ('7785972', 0.3431399329976626), ('7226732', 0.33942639028339261), ('5879482', 0.33623872921329068), ('11189192', 0.32918107832973631)]
3916611	[('3916611', 1.0000000000000002), ('11051712', 0.71104341168715346), ('6512132', 0.59170486174891412), ('14135156', 0.56868709444148502), ('8694842', 0.48502968043539885), ('8642162', 0.3450341809956996), ('14452765', 0.28570887628782687), ('7943482', 0.28169782209305572), ('5879482', 0.27451297910666494), ('12201712', 0.26455127108120713)]
